"Mygento SPSR","Mygento СПСР"
"SPSR shipping version: %s","Модуль доставки СПСР версия %s"
"SPSR login","Логин"
"SPSR password","Пароль"
"SPSR IKN","ИКН"
"Enable contract","Включить использование контракта с СПСР"
"Origin city","Город-отправитель"
"Amount Check","Страхование объявления"
"Sender SMS number","СМС номер отправителя"
"SMS2","СМС оповещение получателя"
"Payer","Кто платит"
"Shipping is free","Делать доставку бесплатной"
"Enable using product width height length","Включить использование атрибутов ШДВ товаров"
"Item param multiplying","По какому из параметров ШДВ делаем сложение"
"One weight","Стандартный вес"
"One length","Стандартная длина"
"One width","Стандартная ширина"
"One height","Стандартная высота"
"Attribute code for length (in cm)","Код аттрибута длины (в см)"
"Attribute code for width (in cm)","Код аттрибута ширины (в см)"
"Attribute code for height (in cm)","Код аттрибута высоты (в см)"
"Cash on delivery method name","Платежный метод для отправки наложенным платежом"
"Sender zip","Почтовый индекс отправителя"
"Sender region","Регион отправителя"
"Sender city","Населенный пункт отправителя (Город)"
"Sender address","Адрес отправителя"
"Sender company name","Наименование организации-отправителя"
"Sender contact name","Ф. И. О. (полностью с пробелами) отправителя или контактного лица в компании-отправителе"
"Sender phone","Контактные телефоны отправителя"
"Pickup type","Вид приема"
"Delivery time","Время доставки."
"TryOn","Дополнительная услуга «Примерка»."
"PartDelivery","Дополнительная услуга «Частичная доставка»"
"ByHand","Дополнительная услуга «Доставка лично в руки»"
"PaidByReceiver","Дополнительная услуга «Оплата получателем»."
"AgreedDelivery","Дополнительная услуга «Согласование даты и времени доставки»"
"Enable internal jQuery + UI","Включить скрипты jQuery + UI."
"Enable Json helper","Включить ajax-подсказки"
"Limit for autocomplete helper","Лимит для подсказок"
"Debug","Режим отладки"
"Autocomplete helper for billing & shipping city inputs","Подсказки в полях ввода города"
"Spsr shipping","СПСР"
"This order can`t be shipped via SPSR","Этот заказ не может быть отправлен в СПСР"
"Code range start","Начало выделенного диапазона ШК"
"Code range end","Конец выделенного диапазона ШК"
"You have less than 25 non-used SPSR barcodes, please request new range.","У вас осталось меньше 25 доступных ШК для отправки в СПСР. Запросите новый диапазон ШК у вашего менеджера СПСР."
"Please check if SPSR barcode range is correct.","Убедитесь, что диапазон ШК СПСР вбит верно."
"Module page","Страница модуля"
"Method Name","Название метода"
"Update","Обновить"
"Update BC increment","Обновить инкремент ШК"
"Current BC increment value: %s","Текущее значение инкремента ШК: %s"
"Do not send calculation to event","Не делать расчет в основной моделе"
"Send empty shipping/rate_result to event","Отправить пустой shipping/rate_result в ивент"